CANDIDATE	STATUS	ITER	VOTES	NTV	QUOTA	KEEP
KEDGLEY Sue	elected	12	10035	1775	9977.875000001	0.68026716
KALDERIMIS Chris	elected	13	10013.06639175	2261.284589825	9917.089426272	0.682322787
ADAMS Kathryn	elected	17	9868.372980228	2957.01487719	9830.123140352	0.765082513
COFFEY 'Ana	elected	19	9785.725438047	4058.185512313	9692.476810961	0.807028269
VERRALL Ayesha	elected	21	10020.297562158	5480.329600507	9514.708799937	0.837337321
BLAKELEY Roger	elected	22	9953.657961727	6286.878737146	9413.890157857	0.871870456
SIMPSON Vanessa	elected	27	9292.07560705	7615.579425362	9247.80257183	1
BROWN Eileen	excluded	27	8913.832994165	7615.579425362	9247.80257183	0
HUGHES Glenda	excluded	20	6562.943082527	4130.12471038	9683.484411203	0
FISO John	excluded	17	5219.016024594	2957.01487719	9830.123140352	0
MITIKULENA Alvin	excluded	15	4528.303309364	2381.524626272	9902.059421717	0
HOLBOROW Janet	excluded	12	3680	1775	9977.875000001	0
MARSH Simon (Swampy)	excluded	11	3464	1181	10052.125000001	0
APANOWICZ John	excluded	10	3088	915	10085.375000001	0
GRICE Stephen	excluded	9	2077	818	10097.500000001	0
ISA Letitia	excluded	8	1960	676	10115.250000001	0
CLARK Marion	excluded	7	1677	600	10124.750000001	0
SHAND David	excluded	6	1570	494	10138.000000001	0
CLARK Nathan	excluded	5	1512	388	10151.250000001	0
NG Shan	excluded	4	1270	239	10169.875000001	0
O'DWYER Letitia	excluded	3	947	172	10178.250000001	0
PETERS John	excluded	2	711	49	10193.625000001	0
TURNER Susan	excluded	1	689	0	10199.750000001	0
